text;label
 binus! woi yang parkir pararel jangan di rem tangan sat,norak lu kampungan udah tau depan lift gw keluar susah bangsat ;0
 binus! bantu plis ;0
 binus! yang dari bekasi region mana ajah mutualan yu;2
 struggle! lagi kelas lab si laptop malah blue screen alhasil plonga plongo aja sambil liatin temen kelas ngejalanin instruksi dari dosen ;0
 Binus! Briefing tentang Sertifikasi Non Credit Earning buat dicantumin di DPI tadi ada pdfnya ngga ya? Lupa join tadi;1
 binus! ada yang mau jual lanyard tulisan binus gak ya, mau beli ni;1
 binus! Even just with a small conversation with u, already make my tummy full of butterflies ;2
 Binus! Untuk anak compsci beli laptop kira2 yang kriterianya gimana ya? Soalnya aku kan udah ada, dan masih berfungsi sih tapi takutnya nanti ga compatible sama bbrp hal, yang aman tuh spesifikasi apa yaa? Makasih ya ;1
 binus! ada yg kesusahan beelingua? capek dikejer beelingua dlm mimpi? like sini ntr nder bantuin slebew;2
 struggle! guys ini btw kelasku dosennya beneran 3 kah atau error? soalnya selama pertemuan, dosennya yang ngajar cuma 1 loh ;0
 Binus! Halo buat kalian yang butuh jam comserv dan mau joki boleh reply yaa nanti aku chat hihi;2
  Binus! Kemanggisan ga macet kita tumpengan pls, ini hari Sabtu tapi tetep aja macet ;0
 binus! mac air m1 uda bagus dan bisa buat ngoding ga ya? sender mau milih streaming e-business dan ada matkul isy. atau ada yang rekomen laptop?;1
 binus! jujur bingung bgt kl jurusan psikologi tu isi portofolionya kek manaaa;0
 binus! yg ambil internship klo udh sampe yg awaiting tuh artinya tinggal nunggu binus acc kan?? trs dia acc nya emg setelah tgl 25 kah?? atau udh pada langsung di acc setelah apply;1
 binus! Kalian pernah gak sih mengalami kayak some sort of anxiety attacks gara gara tugasmu banyak banget terus berat at the end kamu stres sendiri terus langsung anxiety? Entah kenapa aku suka gitu  takut dibilang aku gak mature enough ;0
 binus! range harga kos mandala yang di samping binus tuh berapa yaa?;1
 binus! sblm magang, i mau confess ke inisial wbms compsci b25, ihacoyyyyy!;2
 binus! Main bl itu apasih??? Boyslove?;0
 Ada yang paham sama pembayaran Beelingua? Ini aku udah bayar, udah kirim ke email dan udah dijawab juga, tapi kok masih gini ya? Binus! ;0
 apakah binus! aman utk wibu;1
 binus! wayolo dimarahin  ;0
 sender binus! sian b27 jurusan business creation bingung banget sama accounting karena ga pernah belajar juga di sma, kira kira ada ga ya video yt atau akun yt buat belajar accounting?;1
" mau ngumpulin cwe"" binus! yg suka main bl, sender cwe juga, ayo kapan"" bareng";2
" ""Binus! "" Ak cowo b27, rantau dari batam. Anak batam lain mutualan dong, reply aja nanti ak follow kalo mau hehe";2
 Binus! Boleh kasih tau effort yg kalian lakuin utk sosialisasi matkul cb dong, mulai dari habis berapa ribu terus cari lokasi!;1
 binus! alsut anyone yg ngerasa tadi parkir di samping mobil yariss pls rep heree;2
 binus! guys porto buat enrichment masukin apa ya? bingung soalnya jurusan sender kerjanya bukan yang menghasilkan karya gitu;0
 Binus! Ada yg naik ojek online? Rata habis brp ?;1
 binus! awal bercanda, lama-lama muncul benih cinta sama temen sekelas ;2
 cuma foto parkiran binus! kok  ;1
 binus! kok aku blom di reach out himti ya?...;0
 binus!an yg udh join HIMTI, itu nanti kalau lolos yang tahap pertama, ada tahap kedua kaya interview gitu ga, kalo ada spill interviewnya gimana dong, jadi takut ga keterima soalnya huhu;0
 info dong binus! anggrek sekarang rame banget ga?? apakah rame bgt atau rame aja?;1
 binus! sumpah kelakuan bener2 kayak binatang ya. walaupun ga tau juga sih itu air jeruk atau air yang lain. toilet deket c0301 ;0
 binus! FGC binus ada nggak? Lagi nyari buat main SF, GG, etc?;1
 binus! Di depan KFC Kijang anak PGSD lg buka thrift. Barangkali temen temen nyari baju lucu under 15k bisa cusss ke KFC yaaa ;2
 Minta nomer bot binus! dong;1
 binus! pls botnya jangan sok asik, aku stress bgt ga bsa daftarenrichment pdhal memenuhi syarat ;0
 Binus! Utk kuliah mending mobil kecil atau besar?;1
 binus! kalo izin eese masuk jatah absen ga??;1
 Binus! gila kalian kayaknya udah over comfortable banget ya disini.;0
 binus! hai guys, aku boleh minta foto kalian sambil angkat tabung gas gak? buat koleksi hehe;2
 binus! beelingua aku error dr kemarinn,  selalu gagal klo mau upload speaking test mandarin  tulisannya failed to submit audio file pdhal udh di refresh, clear history, dan kerjain di web itu gimana yaa solusinyaa?;0
 Binus! Kegiatan tfi semua ada comserv nya, atau ada beberapa yg ga ada?;1
 Ada F binus!an yang tinggal di SH dan mau hangout? Just drop the like;1
 binus! business stat 2 ada tutoring nya g yaa?;1
 Binus! Rekomendasi makanan murce dri Syahdan ke anggrek;1
 binus! buat yang tadi nangis di depan toilet di kampus syahdan i hope ur okay :( sorry i didn't approach u, semoga semuanya baik2 aja and i hope all of your problems will be resolved, semangat yaa ;2
 ada yang dari binus! kmg mau ke gbk gak abis ini??;1
 binus! kelas l3c berisik amat, kedengeran sampe ke kelas sebelah wkwkkw;0
 binus! ini kok salah mulu ya gais??? help gais, thank youuuu ;0
 Binus! Skitar palmerah ada yang mo temenan ama gua ga? Butu temen nongs dll nih soalnya baru di jakarta dan gadaa temen Rep atau like tar gw dm (cowo);1
 Binus! Skitar palmerah ada yang mo temenan ama gua anak rantau ga? Butuh temen melipir nih;1
 binus! inisial S b27 bc, iloyo ;2
 Binus! Spill link enrichment dong;1
 stasiun yg deket sama binus! anggrek tuh stasiun apa ya?;1
 binus! apakah ada atiny di binus  kalau ada mutualan yuuuk reg mana ajaa tp  reg alsut is a ++;2
